oui,companyName
60:76:88,Velodyne
84:72:07,I&C Tech
FC:D5:D9,"Shenzhen Sdmc Tech Co, Ltd"
F0:10:AB,"China Mobile (Hangzhou) Information Tech Co, Ltd"
78:D4:F1:4,"Byd Auto lndustry Co, Ltd"
0:08:50,Arizona Instrument Corp
00:0B:EF,Code Corp
00:19:DC,Enensys Tech
EC:94:CB,Espressif Inc
00:50:C2:F2:7,Elan Systems
10:FA:CE,"Reacheng Communication Tech Co, Ltd"
70:B3:D5:7D:C,Software Systems Plus
38:0B:3C,Texas Instruments
90:80:60,Nilfisk A/S
0.008622685185185,Hewlett Packard
00:50:C2:66:6,Xworks NZ Ltd
A0:AA:FD,EraThink Tech Corp
0:18:37,"Universal Abit Co, Ltd"
E0:EE:1B,Panasonic Automotive Systems Co of America
60:D7:E3:B,Nextivity
CC:06:77,"Fiberhome Telecommunication Tech Co, Ltd"
E0:18:9F,EM Microelectronic
00:0D:90,Factum Electronics AB
00:50:C2:3F:8,Superna Ltd
00:15:4C,Saunders Electronics
0:17:52,"Dags, Inc"
9C:5E:73,Calibre UK Ltd
70:97:56,"Happyelectronics Co, Ltd"
78:F5:FD,"Huawei Tech Co, Ltd"
00:5B:94,"Apple, Inc"
00:0E:F8,Sbc Asi
00:11:B4,Westermo Network Tech AB
0.009409722222222,Abb Power Protection (CH)
EC:E1:54,"Beijing Unisound Information Tech Co, Ltd"
70:B3:D5:EC:3,Virtual Control Systems Ltd
B4:A2:EB:B,Quantitec GmbH
E8:78:29:8,"JVISMall Co, Ltd"
0.016863425925926,Isotek Electronics Ltd
D0:CD:E1,Scientech Electronics
8A:DA:26,Eleven Inc
80:FB:06,"Huawei Tech Co, Ltd"
98:F4:28,zte Corp
40:6A:8E,Hangzhou Puwell OE Tech Ltd
3C:B5:3D,"Hunan Goke Microelectronics Co, Ltd"
0.035543981481482,"Aiwa Co, Ltd"
00:50:C2:34:D,Bmk professional electronics GmbH
00:14:9F,"System and Chips, Inc"
00:1F:A9,"Atlanta Dth, Inc"
60:26:EF,"Aruba, a Hewlett Packard Enterprise Co"
0:18:32,Texas Instruments
00:19:5F,Valemount Networks Corp
00:1D:EB,Dinec International
00:14:A4,"Hon Hai Precision Ind. Co, Ltd"
00:1C:B6,"Duzon Cnt Co, Ltd"
00:21:0C,"Cymtec Systems, Inc"
00:23:DF,"Apple, Inc"
08:0C:0B,SysMik GmbH Dresden
0.028912037037037,Dressler GmbH & Co
00:0D:69,Tmt&D Corp
00:50:C2:38:E,Nordic Alarm AB
A4:05:9E,Sta Infinity Llp
CC:4F:5C:8,Feelmore Labs
0:10:01,Citel
00:0E:56,4G Systems GmbH & Co KG
70:B3:D5:F3:8,Scanvaegt Nordic A/S
8C:C8:F4:9,Swift Navigation Inc
0.012731481481482,Applied Biosystems B.V.
00:1F:62,"Jsc ""Stilsoft"""
00:50:C2:B2:E,Act
00:18:3A,Westell Tech Inc
60:EB:69,Quanta Computer Inc
0C:73:EB:A,Pi Innovo Llc
90:E1:7B,"Apple, Inc"
A0:AB:51,"Weifang Goertek Electronics Co, Ltd"
20:2D:23,Collinear Networks Inc
5C:B3:F6,"Human, Inc"
DC:FB:48,Intel Corp
00:C0:45,"Isolation Systems, Ltd"
00:50:C2:C0:9,Globe Wireless
94:05:B6,Liling FullRiver Electronics & Tech Ltd
54:44:08,Nokia Corp
0.1959375,GoPro
00:A0:34,Axel
00:0C:A4,Prompttec Product Management GmbH
74:72:F2,"Chipsip Tech Co, Ltd"
00:E0:E1,"G2 Networks, Inc"
00:09:A1,"Telewise Communications, Inc"
00:1F:6A,"PacketFlux Tech, Inc"
70:B3:D5:D3:1,"Solace Systems, Inc"
4C:4B:F9:0,Multitek Elektronik Sanayi ve Ticaret A.S.
88:C0:8B,"Apple, Inc"
4C:0D:EE,Jabil Circuit (Shanghai) Ltd
70:B3:D5:D3:2,Euklis by Gsg International
10:A4:B9,"Baidu Online Network Tech (Beijing) Co, Ltd"
70:B3:D5:DE:0,eCozy GmbH
70:B3:D5:00:1,Soredi touch systems GmbH
00:BE:75,"Cisco Systems, Inc"
00:50:C2:0E:D,Valley Products Corp
00:1C:3C,Seon Design Inc
B0:24:F3,Progeny Systems
70:B3:D5:32:D,"Hanwell Tech Co, Ltd"
28:CD:C4,"Chongqing Fugui Electronics Co, Ltd"
58:94:A2,Ketek GmbH
18:74:E2:7,"Sansec Tech Co, Ltd"
48:F3:17,Private
70:B3:D5:AE:E,DiTEST Fahrzeugdiagnose GmbH
B4:F8:1E,Kinova
00:50:C2:89:2,Trakce a.s.
1C:C0:E1,Ieee Registration Authority
